date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:08	909842/909842	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2010:32:41%20GMT	https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/index7071.html	(from )
17:31:08	36/36	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2010:32:42%20GMT	https://preview.keenthemes.com/robots.txt		(from )
17:31:08	18278/18278	---M--	200	added ('OK')	image/x-icon	etag:%2263d3da79-4766%22	https://preview.keenthemes.com/metronic8/demo20/assets/media/logos/favicon.ico	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/assets/media/logos/favicon.ico	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
17:31:09	30532/30532	---MCZ	200	added ('OK')	text/css	etag:W/%2263d3dcfb-7744%22	https://preview.keenthemes.com/metronic8/demo20/assets/plugins/custom/fullcalendar/fullcalendar.bundle.css	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/assets/plugins/custom/fullcalendar/fullcalendar.bundle.css	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
17:31:09	39352/39352	---MCZ	200	added ('OK')	text/css	etag:W/%2263d3dd1a-99b8%22	https://preview.keenthemes.com/metronic8/demo20/assets/plugins/custom/datatables/datatables.bundle.css	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/assets/plugins/custom/datatables/datatables.bundle.css	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
17:31:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2020%20Feb%202023%2010:32:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/Tem/E-Kantin%20Penjual/www.googletagmanager.com/gtm.65445.delayed	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
17:31:10	653102/653102	---MCZ	200	added ('OK')	text/css	etag:W/%2263d3dd1e-9f72e%22	https://preview.keenthemes.com/metronic8/demo20/assets/plugins/global/plugins.bundle.css	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/assets/plugins/global/plugins.bundle.css	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
17:31:11	1421303/1421303	---MCZ	200	added ('OK')	text/css	etag:W/%2263d3dd18-15aff7%22	https://preview.keenthemes.com/metronic8/demo20/assets/css/style.bundle.css	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/assets/css/style.bundle.css	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
17:31:11	909811/909811	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2010:32:45%20GMT	https://preview.keenthemes.com/metronic8/demo20/index.html	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/index.html	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
17:31:11	2011/2011	---M--	200	added ('OK')	image/svg+xml	etag:%2263d3da79-7db%22	https://preview.keenthemes.com/metronic8/demo20/assets/media/logos/demo20.svg	E:/Tem/E-Kantin%20Penjual/preview.keenthemes.com/metronic8/demo20/assets/media/logos/demo20.svg	(from https://preview.keenthemes.com/metronic8/demo20/index.html?mode=light&_ga=2.92091674.1476601695.1676887961-683014381.1676887960)
